,generator,base_0,base_1,base_2,base_3,base_4
https://ik.imagekit.io/seeingthewords/data/base/prompt_0/base_4.png,base,0.025,0.17250000000000001,0.12250000000000001,0.29500000000000004,0.0
https://ik.imagekit.io/seeingthewords/data/base/prompt_0/base_0.jpg,base,0.0,0.2475,0.17250000000000001,0.34500000000000003,0.075
https://ik.imagekit.io/seeingthewords/data/base/prompt_0/base_1.jpg,base,0.1525,0.0,0.025,0.12250000000000001,0.1275
https://ik.imagekit.io/seeingthewords/data/base/prompt_0/base_2.jpg,base,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/base/prompt_0/base_3.jpg,base,0.255,0.0775,0.1275,0.0,0.205
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-59.jpg,CompVis,0.255,0.0775,0.1275,0.0,0.205
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-10.jpg,CompVis,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-65.jpg,CompVis,0.1525,0.0,0.025,0.12250000000000001,0.1275
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-52.jpg,CompVis,0.255,0.07749999999999999,0.1275,0.0,0.205
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-68.jpg,CompVis,0.1525,0.0,0.025,0.12250000000000001,0.1275
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-66.jpg,CompVis,0.1525,0.0,0.025,0.12250000000000001,0.1275
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-14.jpg,CompVis,0.025,0.17250000000000001,0.12250000000000001,0.29500000000000004,0.0
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-63.jpg,CompVis,0.205,0.0025000000000000022,0.07749999999999999,0.075,0.155
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-43.jpg,CompVis,0.205,0.0025000000000000022,0.07749999999999999,0.075,0.155
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-71.jpg,CompVis,0.025,0.17250000000000001,0.12250000000000001,0.29500000000000004,0.0
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-5.jpg,CompVis,0.3325,0.155,0.205,0.0775,0.28250000000000003
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-20.jpg,CompVis,0.255,0.0775,0.1275,0.0,0.205
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-32.jpg,CompVis,0.1525,0.0,0.025,0.12250000000000001,0.1275
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-90.jpg,CompVis,0.3325,0.155,0.205,0.0775,0.28250000000000003
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-89.jpg,CompVis,0.255,0.07749999999999999,0.1275,0.0,0.205
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-60.jpg,CompVis,0.3325,0.155,0.205,0.0775,0.28250000000000003
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-11.jpg,CompVis,0.0775,0.15,0.075,0.2475,0.0025000000000000022
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-69.jpg,CompVis,0.255,0.07749999999999999,0.1275,0.0,0.205
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-44.jpg,CompVis,0.205,0.0025000000000000022,0.0775,0.075,0.155
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-24.jpg,CompVis,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-31.jpg,CompVis,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-93.jpg,CompVis,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-79.jpg,CompVis,0.3325,0.155,0.205,0.0775,0.28250000000000003
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-6.jpg,CompVis,0.255,0.07749999999999999,0.1275,0.0,0.205
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-37.jpg,CompVis,0.1525,0.0,0.025,0.12250000000000001,0.1275
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-12.jpg,CompVis,0.3325,0.155,0.205,0.0775,0.28250000000000003
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-0.jpg,CompVis,0.1525,0.0,0.025,0.12250000000000001,0.1275
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-97.jpg,CompVis,0.255,0.07749999999999999,0.1275,0.0,0.205
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-21.jpg,CompVis,0.0775,0.15,0.075,0.2475,0.0025000000000000022
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-23.jpg,CompVis,0.3325,0.155,0.205,0.0775,0.28250000000000003
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-61.jpg,CompVis,0.255,0.07749999999999999,0.1275,0.0,0.205
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-25.jpg,CompVis,0.3325,0.155,0.205,0.0775,0.28250000000000003
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-40.jpg,CompVis,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-58.jpg,CompVis,0.3325,0.155,0.205,0.0775,0.28250000000000003
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-64.jpg,CompVis,0.255,0.0775,0.1275,0.0,0.205
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-19.jpg,CompVis,0.1525,0.0,0.025,0.12250000000000001,0.1275
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-30.jpg,CompVis,0.025,0.17250000000000001,0.12250000000000001,0.29500000000000004,0.0
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-41.jpg,CompVis,0.255,0.07749999999999999,0.1275,0.0,0.205
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-35.jpg,CompVis,0.1525,0.0,0.025,0.12250000000000001,0.1275
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-86.jpg,CompVis,0.3325,0.155,0.205,0.0775,0.28250000000000003
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-29.jpg,CompVis,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-42.jpg,CompVis,0.3325,0.155,0.205,0.0775,0.28250000000000003
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-73.jpg,CompVis,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-84.jpg,CompVis,0.1525,0.0,0.025,0.12250000000000001,0.1275
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-17.jpg,CompVis,0.255,0.0775,0.1275,0.0,0.205
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-4.jpg,CompVis,0.1525,0.0,0.025,0.12250000000000001,0.1275
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-1.jpg,CompVis,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-39.jpg,CompVis,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-70.jpg,CompVis,0.205,0.0025000000000000022,0.07749999999999999,0.075,0.155
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-72.jpg,CompVis,0.255,0.07749999999999999,0.1275,0.0,0.205
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-85.jpg,CompVis,0.255,0.07749999999999999,0.1275,0.0,0.205
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-18.jpg,CompVis,0.1525,0.0,0.025,0.12250000000000001,0.1275
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-55.jpg,CompVis,0.0,0.2475,0.17250000000000001,0.34500000000000003,0.075
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-57.jpg,CompVis,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-67.jpg,CompVis,0.255,0.07749999999999999,0.1275,0.0,0.205
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-33.jpg,CompVis,0.255,0.0775,0.1275,0.0,0.205
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-74.jpg,CompVis,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-51.jpg,CompVis,0.0775,0.15,0.075,0.2475,0.0025000000000000022
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-82.jpg,CompVis,0.3325,0.155,0.205,0.0775,0.28250000000000003
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-88.jpg,CompVis,0.025,0.17250000000000001,0.12250000000000001,0.29500000000000004,0.0
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-56.jpg,CompVis,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-54.jpg,CompVis,0.205,0.0025000000000000022,0.0775,0.075,0.155
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-53.jpg,CompVis,0.255,0.0775,0.1275,0.0,0.205
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-99.jpg,CompVis,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-75.jpg,CompVis,0.255,0.0775,0.1275,0.0,0.205
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-80.jpg,CompVis,0.3325,0.155,0.205,0.0775,0.28250000000000003
